,city,lat,lon,country,iso3,population
742,Skopje,41.9833,21.4333,Macedonia,MKD,640000.0
743,Kuwait City,29.375,47.98,Kuwait,KWT,637411.0
744,Kingston,17.9714,-76.7931,Jamaica,JAM,580000.0
745,Vilnius,54.6833,25.2833,Lithuania,LTU,574147.0
746,San Salvador,13.6989,-89.1914,El Salvador,SLV,567698.0
747,Djibouti,11.595,43.1481,Djibouti,DJI,562000.0
748,Lisbon,38.7452,-9.1604,Portugal,PRT,506654.0
750,Tallinn,59.4372,24.745,Estonia,EST,434562.0
751,Cape Town,-33.925,18.425,South Africa,ZAF,433688.0
752,Bratislava,48.1447,17.1128,Slovakia,SVK,429564.0
753,Tirana,41.33,19.82,Albania,ALB,418495.0
754,Canberra,-35.2931,149.1269,Australia,AUS,426704.0
755,Wellington,-41.2889,174.7772,New Zealand,NZL,418500.0
756,Beirut,33.8869,35.5131,Lebanon,LBN,361366.0
757,Dodoma,-6.25,35.75,Tanzania,TZA,410956.0
759,Bissau,11.8592,-15.5956,Guinea-Bissau,GNB,395954.0
760,Juba,4.85,31.6,South Sudan,SSD,372410.0
761,Port Moresby,-9.4789,147.1494,Papua New Guinea,PNG,364125.0
762,Yamoussoukro,6.8161,-5.2742,Côte D’Ivoire,CIV,355573.0
764,Maseru,-29.31,27.48,Lesotho,LSO,330790.0
765,Nicosia,35.1725,33.365,Cyprus,CYP,330000.0
766,Windhoek,-22.57,17.0836,Namibia,NAM,322500.0
767,Porto-Novo,6.4833,2.6167,Benin,BEN,300000.0
768,Sucre,-19.0431,-65.2592,Bolivia,BOL,300000.0
769,San José,9.9333,-84.0833,Costa Rica,CRI,288054.0
770,Ljubljana,46.05,14.5167,Slovenia,SVN,284355.0
771,Sarajevo,43.8667,18.4167,Bosnia And Herzegovina,BIH,275524.0
772,Nassau,25.0667,-77.3333,"Bahamas, The",BHS,274400.0
773,Bloemfontein,-29.1,26.2167,South Africa,ZAF,256185.0
774,Gaborone,-24.6569,25.9086,Botswana,BWA,231626.0
775,Paramaribo,5.8667,-55.1667,Suriname,SUR,223757.0
776,Dili,-8.5586,125.5736,Timor-Leste,TLS,222323.0
777,Pristina,42.6667,21.1667,Kosovo,XKS,204725.0
778,Georgetown,6.7833,-58.1667,Guyana,GUY,200500.0
779,Malabo,3.7521,8.7737,Equatorial Guinea,GNQ,187302.0
780,Brussels,50.8467,4.3517,Belgium,BEL,185103.0
781,Male,4.175,73.5083,Maldives,MDV,133019.0
782,Podgorica,42.4397,19.2661,Montenegro,MNE,174515.0
783,Manama,26.2167,50.5831,Bahrain,BHR,157474.0
784,Port Louis,-20.1667,57.5,Mauritius,MUS,149194.0
785,New Delhi,28.7,77.2,India,IND,142004.0
786,Bern,46.948,7.4474,Switzerland,CHE,133798.0
787,Reykjavík,64.1475,-21.935,Iceland,ISL,128793.0
788,Praia,14.9177,-23.5092,Cabo Verde,CPV,127832.0
789,Luxembourg,49.6106,6.1328,Luxembourg,LUX,122273.0
790,Sri Jayewardenepura Kotte,6.9,79.9164,Sri Lanka,LKA,115826.0
791,Bridgetown,13.0975,-59.6167,Barbados,BRB,110000.0
792,Moroni,-11.7036,43.2536,Comoros,COM,111329.0
793,Thimphu,27.4833,89.6333,Bhutan,BTN,104000.0
794,Mbabane,-26.3167,31.1333,Swaziland,SWZ,90138.0
795,Honiara,-9.4333,159.95,Solomon Islands,SLB,84520.0
796,Suva,-18.1333,178.4333,Fiji,FJI,88271.0
797,Castries,14.0167,-60.9833,Saint Lucia,LCA,70000.0
798,São Tomé,0.3333,6.7333,Sao Tome And Principe,STP,56166.0
799,Port-Vila,-17.75,168.3,Vanuatu,VUT,51437.0
800,Bandar Seri Begawan,4.9167,114.9167,Brunei,BRN,50000.0
801,Monaco,43.7396,7.4069,Monaco,MCO,36371.0
802,Gitega,-3.4264,29.9306,Burundi,BDI,41944.0
803,Port of Spain,10.6667,-61.5167,Trinidad And Tobago,TTO,37074.0
804,Apia,-13.8333,-171.8333,Samoa,WSM,37708.0
805,Vaduz,47.1415,9.5215,Liechtenstein,LIE,36281.0
806,Banjul,13.4531,-16.5775,"Gambia, The",GMB,31356.0
807,Tarawa,1.3382,173.0176,Kiribati,KIR,28802.0
808,Victoria,-4.6236,55.4544,Seychelles,SYC,26450.0
809,Majuro,7.1167,171.3667,Marshall Islands,MHL,25400.0
810,Kingstown,13.1667,-61.2333,Saint Vincent And The Grenadines,VCT,25418.0
811,Nuku‘alofa,-21.1347,-175.2083,Tonga,TON,24571.0
812,Saint John’s,17.1211,-61.8447,Antigua And Barbuda,ATG,21926.0
813,Andorra la Vella,42.5,1.5,Andorra,AND,22151.0
814,Belmopan,17.25,-88.7675,Belize,BLZ,17222.0
815,Roseau,15.3,-61.3833,Dominica,DMA,16582.0
816,Basseterre,17.2983,-62.7342,Saint Kitts And Nevis,KNA,13220.0
817,Pago Pago,-14.274,-170.7046,American Samoa,ASM,12576.0
818,Valletta,35.8978,14.5125,Malta,MLT,6444.0
819,Palikir,6.9178,158.185,"Micronesia, Federated States Of",FSM,6227.0
820,Funafuti,-8.5167,179.2167,Tuvalu,TUV,6025.0
821,Lobamba,-26.4167,31.1667,Swaziland,SWZ,5800.0
822,Saint George’s,12.0444,-61.7417,Grenada,GRD,4315.0
823,San Marino,43.932,12.4484,San Marino,SMR,4040.0
824,Al Quds,31.7764,35.2269,West Bank,XWB,
825,Capitol Hill,15.2137,145.7546,Northern Mariana Islands,MNP,2500.0
826,Hagåtña,13.4745,144.7504,Guam,GUM,1051.0
827,Ngerulmud,7.5006,134.6242,Palau,PLW,
